FHLBank,FIPSStateCode,FIPSCountyCode,Income,Purpose,Term,First,BoAge,Occup,Rate,Amount,BoCreditScore,PropType
Atlanta,6,19,110004,2,360,2,33,1,0.035,214000,3,PT01
Atlanta,48,397,74172,1,360,2,50,1,0.0338,251000,5,PT07
Atlanta,37,57,61884,1,360,1,25,1,0.035,101690,4,PT07
Atlanta,53,53,162936,1,360,2,41,1,0.035,325000,5,PT07
Atlanta,6,37,77568,1,360,1,28,1,0.035,238009,5,PT01
Atlanta,17,201,38508,1,360,1,48,1,0.035,69000,5,PT01
Atlanta,12,103,50448,1,360,2,61,1,0.0325,168000,5,PT01
Atlanta,32,3,47436,1,360,1,64,1,0.035,165000,5,PT01
Atlanta,55,131,119004,2,360,2,38,1,0.035,253963,4,PT01
Atlanta,37,51,209448,1,360,2,42,1,0.0363,132224,5,PT07
Atlanta,13,145,128268,1,360,1,54,1,0.0325,410101,5,PT07
Atlanta,13,135,122568,2,360,2,51,1,0.0338,215000,5,PT07
Atlanta,47,165,89928,1,360,1,64,1,0.0325,395000,5,PT01
Atlanta,12,113,224184,1,360,1,49,1,0.0363,250000,5,PT01
Atlanta,12,95,118248,1,360,2,56,1,0.035,373000,4,PT01
Atlanta,6,73,80628,1,360,1,58,1,0.035,352400,4,PT11
Atlanta,48,61,108552,2,360,2,37,1,0.035,99500,4,PT07
Atlanta,45,75,70272,2,360,2,67,1,0.035,347000,4,PT01
Atlanta,13,31,105480,1,360,2,45,1,0.0325,205400,5,PT07
Atlanta,42,43,108288,1,360,2,34,1,0.035,284075,5,PT01
Atlanta,12,11,95376,2,360,2,70,1,0.0325,198800,4,PT01
Atlanta,18,105,43656,2,360,2,27,1,0.0325,125000,5,PT01
Atlanta,12,9,117180,2,360,2,54,1,0.0325,93000,3,PT01
Atlanta,13,185,172908,1,360,2,52,1,0.035,165000,5,PT01
Atlanta,51,87,90000,2,360,2,32,1,0.0338,159500,3,PT01
Atlanta,24,21,146004,2,360,2,52,1,0.0338,300450,5,PT01
Atlanta,4,13,93900,1,360,2,35,1,0.0363,139450,4,PT11
Atlanta,49,11,95808,1,360,2,32,1,0.0325,233458,5,PT01
Atlanta,24,33,93624,2,360,2,44,1,0.0325,249000,2,PT07
Atlanta,51,107,209460,2,360,2,49,1,0.035,350800,4,PT07
Atlanta,33,11,99540,1,360,2,40,1,0.0363,335700,4,PT01
Atlanta,48,325,121296,1,360,2,67,1,0.0338,330000,5,PT01
Atlanta,6,19,145596,1,360,2,66,1,0.0325,278000,4,PT01
Atlanta,37,183,122976,2,360,2,50,1,0.0325,147000,5,PT07
Atlanta,37,183,119208,1,360,2,63,1,0.0325,417000,5,PT07
Atlanta,51,179,152688,2,360,2,53,1,0.0325,230000,5,PT07
Atlanta,47,9,40452,1,360,2,44,1,0.0338,189900,5,PT01
Atlanta,24,21,78552,2,360,2,36,1,0.0325,191500,5,PT07
Atlanta,18,3,93396,2,360,2,32,1,0.0325,174066,5,PT07
Atlanta,13,257,119868,2,360,2,49,1,0.0338,222000,5,PT01
Atlanta,12,95,60372,2,360,2,66,1,0.035,184000,5,PT07
Atlanta,48,201,143748,1,360,2,38,1,0.0363,208000,2,PT07
Atlanta,4,19,72528,1,360,2,36,1,0.035,215000,5,PT07
Atlanta,39,17,136416,1,360,2,47,1,0.0338,159500,5,PT01
Atlanta,54,77,138756,1,360,2,49,1,0.0325,143750,4,PT07
Atlanta,12,69,128868,1,360,2,50,1,0.035,252000,5,PT07
Atlanta,48,29,64860,1,360,1,35,1,0.0363,153100,5,PT11
Atlanta,37,51,165444,2,360,2,49,1,0.035,365000,5,PT01
Atlanta,48,213,96132,1,360,2,32,1,0.0338,143360,5,PT01
Atlanta,6,95,168336,2,360,2,46,1,0.0363,328000,4,PT01
Atlanta,16,1,150000,1,360,2,39,1,0.035,415000,3,PT07
Atlanta,48,439,73764,2,360,2,69,1,0.0338,174200,4,PT07
Atlanta,53,53,85392,1,360,2,40,1,0.0338,205000,5,PT07
Atlanta,25,5,94092,1,360,1,51,1,0.0338,367700,4,PT01
Atlanta,20,173,55800,1,360,1,31,1,0.035,156499,5,PT01
Atlanta,20,173,24900,1,360,1,46,1,0.035,57500,4,PT01
Atlanta,24,17,99624,1,360,2,55,1,0.0338,279000,5,PT01
Atlanta,24,33,111804,2,360,2,48,1,0.035,171950,5,PT01
Atlanta,51,59,149040,2,360,2,66,1,0.035,184185,5,PT07
Atlanta,42,17,112812,2,360,2,44,1,0.0338,314750,5,PT01
Atlanta,53,5,117360,1,360,2,67,1,0.0363,241672,5,PT07
Atlanta,13,113,154920,2,360,2,58,1,0.035,285000,5,PT01
Atlanta,17,31,93384,1,360,2,32,1,0.0325,406000,4,PT01
Atlanta,51,700,78264,2,360,2,43,1,0.0325,219900,2,PT01
Atlanta,45,35,92844,2,360,2,50,1,0.0338,199500,5,PT07
Atlanta,9,3,135168,2,360,2,46,1,0.035,169000,5,PT01
Atlanta,48,85,212016,1,360,2,63,1,0.0338,295616,5,PT07
Atlanta,35,43,87876,2,360,2,47,1,0.0325,417000,5,PT01
Atlanta,24,31,133404,2,360,2,44,1,0.035,180118,3,PT07
Atlanta,13,247,64932,2,360,2,50,1,0.0363,160000,5,PT01
Atlanta,25,13,68676,1,360,1,35,1,0.0363,235000,4,PT01
Atlanta,31,153,32448,1,360,1,27,1,0.0363,127650,4,PT01
Atlanta,54,3,132348,2,360,2,63,1,0.0325,205000,5,PT01
Atlanta,13,135,104076,1,360,1,61,1,0.0338,284000,5,PT07
Atlanta,24,3,166356,1,360,1,25,1,0.035,372800,4,PT01
Atlanta,53,53,80328,2,360,2,54,1,0.035,183000,3,PT01
Atlanta,24,510,70008,1,360,1,23,1,0.035,275803,4,PT01
Atlanta,40,143,56784,2,360,2,42,1,0.035,111300,4,PT01
Atlanta,28,151,37764,1,360,2,68,1,0.0363,80000,5,PT01
Atlanta,18,165,92340,2,360,2,46,1,0.0363,133400,5,PT01
Atlanta,54,37,57780,1,360,1,45,1,0.035,223708,3,PT07
Atlanta,1,101,164484,2,360,2,40,1,0.035,287100,4,PT07
Atlanta,51,59,132396,1,360,1,28,1,0.0338,385105,5,PT01
Atlanta,51,13,55716,2,360,2,52,1,0.035,153000,5,PT01
Atlanta,45,83,60192,1,360,2,73,1,0.035,201033,5,PT07
Atlanta,24,17,134004,2,360,2,60,1,0.0338,376000,4,PT07
Atlanta,12,131,89196,1,360,2,68,1,0.0338,170000,5,PT07
Atlanta,31,153,111756,1,360,2,42,1,0.0338,317448,4,PT01
Atlanta,51,153,143820,1,360,2,53,1,0.035,387350,4,PT07
Atlanta,20,173,60012,2,360,2,29,1,0.0363,173250,5,PT07
Atlanta,48,187,93588,2,360,2,43,1,0.035,186400,4,PT07
Atlanta,48,439,148164,2,360,2,70,1,0.035,190950,4,PT01
Atlanta,47,125,60924,1,360,1,29,1,0.0338,131750,4,PT01
Atlanta,47,157,150360,2,360,2,64,1,0.035,231450,5,PT07
Atlanta,12,31,67536,2,360,2,49,1,0.0338,235400,4,PT07
Atlanta,53,33,122016,1,360,2,47,1,0.035,390200,5,PT01
Atlanta,48,29,121020,1,360,2,35,1,0.0363,218500,5,PT07
Atlanta,8,41,60624,1,360,1,59,1,0.0325,257418,5,PT07
Atlanta,10,1,38808,1,360,2,74,1,0.0363,180670,5,PT01
Atlanta,20,173,71832,2,360,2,65,1,0.0325,120600,5,PT01
Atlanta,24,33,93468,2,360,2,74,1,0.0363,118000,3,PT01
Atlanta,4,13,69816,1,360,2,66,1,0.035,213150,5,PT07
Atlanta,51,59,226764,2,360,2,52,1,0.0338,417000,5,PT07
Atlanta,20,91,115068,2,360,2,62,1,0.0325,220000,5,PT07
Atlanta,13,97,68484,2,360,2,49,1,0.0363,132000,5,PT01
Atlanta,48,201,118548,1,360,2,61,1,0.035,304500,5,PT07
Atlanta,51,59,70944,2,360,2,52,1,0.0325,225200,4,PT07
Atlanta,48,441,106824,2,180,2,50,1,0.0275,195000,5,PT01
Atlanta,12,89,116496,2,180,2,53,1,0.0288,135450,5,PT07
Atlanta,48,27,131712,2,180,2,32,1,0.0275,145000,4,PT07
Atlanta,19,153,61752,2,180,2,68,1,0.0275,95200,4,PT01
Atlanta,8,41,104988,2,180,2,56,1,0.0275,157000,5,PT01
Atlanta,47,125,123156,2,180,2,42,1,0.0275,176300,4,PT01
Atlanta,37,37,79056,2,180,2,72,1,0.0275,105000,5,PT07
Atlanta,35,13,159780,2,180,2,49,1,0.0275,280000,5,PT01
Atlanta,32,7,115308,2,180,2,57,1,0.0275,154000,4,PT07
Atlanta,24,31,128364,2,180,2,65,1,0.0275,250000,4,PT01
Atlanta,18,57,246528,2,180,2,42,1,0.0288,312000,5,PT07
Atlanta,8,41,93564,2,180,2,49,1,0.0288,139400,3,PT01
Atlanta,12,111,133176,2,180,2,42,1,0.0275,106000,5,PT01
Atlanta,24,33,286980,2,180,2,49,1,0.0275,350000,5,PT01
Atlanta,32,3,79320,2,180,2,49,1,0.0275,172000,5,PT01
Atlanta,24,17,311448,2,180,2,54,1,0.0275,356400,5,PT07
Atlanta,37,119,91956,2,180,2,49,1,0.0275,107000,5,PT07
Atlanta,4,19,62268,2,180,2,79,1,0.0275,114750,5,PT01
Atlanta,12,97,100140,2,180,2,53,1,0.0275,126550,4,PT07
Atlanta,38,15,184716,2,180,2,34,1,0.0288,350000,5,PT01
Atlanta,53,33,178884,2,180,2,61,1,0.0275,304000,5,PT07
Atlanta,13,29,117264,2,360,2,47,1,0.0363,302400,5,PT07
Atlanta,48,187,116376,1,360,1,40,1,0.0325,286230,5,PT07
Atlanta,37,119,69300,1,360,1,53,1,0.035,243000,5,PT01
Atlanta,12,117,59340,1,360,1,22,1,0.0338,180000,4,PT01
Atlanta,48,27,101832,2,360,2,39,1,0.0325,148000,4,PT01
Atlanta,48,215,55260,1,360,1,28,1,0.0325,173552,2,PT01
Atlanta,12,5,264864,1,360,2,56,1,0.0325,365000,4,PT07
Atlanta,6,29,67116,2,360,2,33,1,0.0325,234567,4,PT01
Atlanta,12,9,59328,1,360,2,63,1,0.0363,218295,5,PT01
Atlanta,53,11,97632,2,360,2,44,1,0.0363,256000,4,PT01
Atlanta,1,51,55068,1,360,2,63,1,0.0325,280000,4,PT07
Atlanta,22,33,132504,1,360,2,73,1,0.0325,233900,4,PT07
Atlanta,39,61,64152,1,360,2,59,1,0.0363,70900,5,PT01
Atlanta,24,33,122556,2,360,2,53,1,0.035,340000,5,PT07
Atlanta,12,109,131304,1,360,2,53,1,0.0363,130000,5,PT01
Atlanta,32,3,127344,2,360,2,52,1,0.0325,207425,5,PT07
Atlanta,48,29,73284,1,360,1,57,1,0.0363,201050,4,PT07
Atlanta,12,57,63756,2,360,2,68,1,0.0325,117762,4,PT01
Atlanta,13,63,111144,2,360,2,52,1,0.0325,300000,5,PT07
Atlanta,47,65,64692,1,360,1,43,1,0.035,119000,4,PT01
Atlanta,13,89,83520,1,360,2,42,1,0.0363,180000,5,PT07
Atlanta,12,71,48000,1,360,1,31,1,0.0325,175500,5,PT07
Atlanta,29,183,65628,1,360,2,43,1,0.035,207313,5,PT07
Atlanta,42,133,94992,2,360,2,51,1,0.0325,150000,5,PT01
Atlanta,53,67,191172,2,360,2,61,1,0.035,162400,5,PT01
Atlanta,47,149,99540,2,360,2,35,1,0.0325,287500,4,PT07
Atlanta,29,189,87516,1,360,1,61,1,0.035,165250,4,PT07
Atlanta,13,89,67992,1,360,1,37,1,0.035,133100,4,PT01
Atlanta,24,33,151500,2,360,2,52,1,0.0325,269100,4,PT01
Atlanta,6,37,199800,2,360,2,41,1,0.0325,407987,3,PT01
Atlanta,47,125,66228,1,360,2,32,1,0.0325,140864,5,PT01
Atlanta,32,3,78408,1,360,2,71,1,0.0325,272701,5,PT07
Atlanta,4,3,61860,2,360,2,61,1,0.0363,200000,5,PT01
Atlanta,9,3,114168,1,360,1,50,1,0.0325,175000,5,PT07
Atlanta,48,121,204348,1,360,2,57,1,0.0388,299000,5,PT07
Atlanta,42,101,44604,1,360,1,27,1,0.0375,200550,4,PT01
Atlanta,34,21,241764,2,360,2,68,1,0.0375,334700,5,PT07
Atlanta,8,93,217368,1,360,2,59,1,0.0375,296156,5,PT01
Atlanta,12,91,83592,1,360,2,47,1,0.0375,239900,5,PT01
Atlanta,51,153,265584,2,360,2,56,1,0.0375,326884,4,PT07
Atlanta,13,67,115800,2,360,2,55,1,0.0375,228000,4,PT07
Atlanta,17,31,68052,2,180,2,30,1,0.0263,125500,4,PT01
Atlanta,42,41,111840,1,180,1,56,1,0.0263,265000,5,PT01
Atlanta,4,3,152400,2,180,2,52,1,0.0263,245000,5,PT01
Atlanta,9,9,171312,1,180,1,51,1,0.0263,265000,5,PT01
Atlanta,48,27,87576,1,180,2,52,1,0.025,145000,5,PT01
Atlanta,46,93,108444,2,180,2,42,1,0.0263,126250,5,PT01
Atlanta,51,177,162504,2,180,2,49,1,0.0263,172000,4,PT07
Atlanta,51,125,126036,2,180,2,74,1,0.0263,417000,5,PT07
Atlanta,51,69,181368,2,180,2,56,1,0.0263,392500,4,PT07
Atlanta,4,15,104076,2,180,2,61,1,0.0263,348000,5,PT07
Atlanta,48,121,230328,2,180,2,54,1,0.025,386631,5,PT07
Atlanta,24,17,91380,2,180,2,42,1,0.0238,292000,3,PT07
Atlanta,37,51,89400,2,180,2,68,1,0.0263,164000,5,PT01
Atlanta,13,77,189684,1,180,2,51,1,0.0263,400000,5,PT07
Atlanta,51,179,158676,2,180,2,53,1,0.0263,410000,5,PT07
Atlanta,32,31,50544,2,180,2,25,1,0.0263,88239,4,PT07
Atlanta,4,13,70356,1,180,1,31,1,0.0263,185000,5,PT01
Atlanta,51,59,190500,2,180,2,50,1,0.0263,394700,2,PT01
Atlanta,13,151,155256,2,180,2,63,1,0.0263,310000,4,PT07
Atlanta,48,29,131844,2,180,2,56,1,0.0263,122600,4,PT07
Atlanta,25,21,236592,2,180,2,42,1,0.0263,390000,5,PT01
Atlanta,33,19,215484,2,180,2,56,1,0.025,360000,3,PT01
Atlanta,24,31,212628,2,180,2,54,1,0.025,225000,5,PT07
Atlanta,37,183,103524,2,180,2,45,1,0.025,220000,5,PT01
Atlanta,45,45,124536,2,180,2,47,1,0.0263,220000,4,PT07
Atlanta,21,103,140604,2,180,2,58,1,0.025,200000,5,PT01
Atlanta,37,105,117024,2,180,2,53,1,0.0263,243800,5,PT07
Atlanta,12,9,108744,2,180,2,64,1,0.0263,167000,5,PT07
Atlanta,13,135,147216,2,180,2,50,1,0.0263,123000,3,PT01
Atlanta,6,67,126888,2,180,2,42,1,0.025,111300,4,PT01
Atlanta,48,485,185184,2,180,2,40,1,0.0263,163700,5,PT01
Atlanta,1,31,124944,2,180,2,44,1,0.0263,167300,3,PT01
Atlanta,12,95,181056,2,180,2,54,1,0.0263,267000,5,PT07
Atlanta,54,65,245496,2,180,2,50,1,0.0238,325000,5,PT01
Atlanta,48,157,88788,2,180,2,48,1,0.025,135500,4,PT07
Atlanta,53,29,25284,2,180,2,57,1,0.025,73500,5,PT01
Atlanta,4,13,88800,2,180,2,56,1,0.025,150000,4,PT01
Atlanta,51,13,78228,2,180,2,65,1,0.0263,200000,4,PT01
Atlanta,48,187,129192,2,180,2,57,1,0.0263,112000,5,PT01
Atlanta,39,153,137376,2,180,2,40,1,0.0263,166300,5,PT01
Atlanta,49,11,165960,2,180,2,56,1,0.0263,249600,5,PT07
Atlanta,12,57,119328,1,180,1,36,1,0.0263,281450,5,PT07
Atlanta,20,173,91596,2,180,2,50,1,0.0263,94500,3,PT01
Atlanta,54,37,167376,2,180,2,42,1,0.0263,246050,4,PT07
Atlanta,48,141,137256,2,180,2,47,1,0.0263,100500,5,PT01
Atlanta,12,31,97644,2,180,2,67,1,0.0263,180000,5,PT11
Atlanta,45,85,116292,2,180,2,37,1,0.0263,140000,5,PT07
Atlanta,42,123,146388,2,180,2,45,1,0.025,279000,5,PT01
Atlanta,51,153,162276,2,180,2,46,1,0.0263,391000,5,PT07
Atlanta,1,103,133020,1,180,2,47,1,0.0263,223000,5,PT01
Atlanta,48,439,79044,1,180,1,25,1,0.025,169900,4,PT01
Atlanta,48,91,215508,2,180,2,41,1,0.0263,275000,5,PT01
Atlanta,46,99,106296,2,180,2,33,1,0.0263,240600,5,PT01
Atlanta,24,21,159360,2,180,2,45,1,0.0263,328000,4,PT07
Atlanta,37,51,105600,2,180,2,50,1,0.0263,197000,5,PT01
Atlanta,18,57,88416,2,180,2,47,1,0.0263,179000,5,PT01
Atlanta,17,31,56496,1,360,1,27,1,0.0325,239500,5,PT01
Atlanta,6,95,129504,2,360,2,70,1,0.035,277000,3,PT01
Atlanta,37,19,179328,1,360,2,67,1,0.0325,303750,5,PT07
Atlanta,32,3,87072,1,360,2,41,1,0.0325,200000,4,PT07
Atlanta,24,33,97572,2,360,2,56,1,0.0325,225000,4,PT01
Atlanta,12,31,65652,2,360,2,59,1,0.035,126000,5,PT01
Atlanta,51,95,199452,1,360,2,36,1,0.0338,408600,4,PT07
Atlanta,5,119,173136,2,360,2,66,1,0.0325,138500,5,PT01
Atlanta,48,27,60108,1,360,2,65,1,0.0325,174000,5,PT01
Atlanta,51,700,47136,1,360,1,30,1,0.0325,225000,5,PT01
Atlanta,10,3,265800,1,360,2,42,1,0.0325,417000,5,PT07
Atlanta,12,109,146532,1,360,2,28,1,0.0325,362841,5,PT07
Atlanta,48,147,221532,1,360,2,56,1,0.0325,307000,4,PT01
Atlanta,48,5,78960,1,360,2,74,1,0.0325,109350,5,PT01
Atlanta,18,11,90396,2,360,2,35,1,0.0325,345505,4,PT01
Atlanta,42,7,82200,1,360,2,34,1,0.035,235520,5,PT01
Atlanta,12,9,94020,1,360,1,56,1,0.0325,272000,5,PT07
Atlanta,37,191,144528,1,360,1,50,1,0.0325,334900,3,PT01
Atlanta,13,113,109992,1,360,2,58,1,0.0325,95175,5,PT07
Atlanta,12,23,109584,1,360,2,64,1,0.0325,110000,5,PT01
Atlanta,17,89,42900,1,360,1,82,1,0.0325,137902,4,PT01
Atlanta,15,3,251676,1,360,2,62,1,0.0338,500000,5,PT07
Atlanta,51,153,203124,1,360,1,50,1,0.0338,617441,5,PT07
Atlanta,51,179,156996,2,360,2,46,1,0.0325,454000,5,PT07
Atlanta,51,59,197004,1,360,1,29,1,0.0363,625450,5,PT07
Atlanta,51,153,194400,1,360,1,46,1,0.035,596700,5,PT07
Atlanta,51,59,150036,1,360,1,49,1,0.0338,600000,4,PT07
Atlanta,51,510,162396,2,360,2,34,1,0.0338,542050,2,PT01
Atlanta,6,73,168804,2,360,2,46,1,0.0338,520000,5,PT07
Atlanta,51,107,263772,2,360,2,53,1,0.0325,520000,4,PT07
Atlanta,51,510,117264,1,360,1,33,1,0.0338,563868,5,PT07
