FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,53906,55800,1,360,1,31,0.035,5,156499
472522,53906,24900,1,360,1,46,0.035,4,57500
472522,75847,99624,1,360,2,55,0.0338,5,279000
472522,75847,111804,2,360,2,48,0.035,5,171950
472522,66262,149040,2,360,2,66,0.035,5,184185
472522,55702,112812,2,360,2,44,0.0338,5,314750
472522,64129,117360,1,360,2,67,0.0363,5,241672
472522,51244,154920,2,360,2,58,0.035,5,285000
472522,59588,93384,1,360,2,32,0.0325,4,406000
472522,66262,78264,2,360,2,43,0.0325,2,219900
472522,47238,92844,2,360,2,50,0.0338,5,199500
472522,71346,135168,2,360,2,46,0.035,5,169000
472522,55653,212016,1,360,2,63,0.0338,5,295616
472522,45382,87876,2,360,2,47,0.0325,5,417000
472522,75847,133404,2,360,2,44,0.035,3,180118
472522,51244,64932,2,360,2,50,0.0363,5,160000
472522,70628,68676,1,360,1,35,0.0363,4,235000
472522,54996,32448,1,360,1,27,0.0363,4,127650
472522,42019,132348,2,360,2,63,0.0325,5,205000
472522,51244,104076,1,360,1,61,0.0338,5,284000
472522,75847,166356,1,360,1,25,0.035,4,372800
472522,64129,80328,2,360,2,54,0.035,3,183000
472522,75847,70008,1,360,1,23,0.035,4,275803
472522,48568,56784,2,360,2,42,0.035,4,111300
472522,40593,37764,1,360,2,68,0.0363,5,80000
472522,50532,92340,2,360,2,46,0.0363,5,133400
472522,42019,57780,1,360,1,45,0.035,3,223708
472522,44765,164484,2,360,2,40,0.035,4,287100
472522,66262,132396,1,360,1,28,0.0338,5,385105
472522,66262,55716,2,360,2,52,0.035,5,153000
472522,47238,60192,1,360,2,73,0.035,5,201033
472522,75847,134004,2,360,2,60,0.0338,4,376000
472522,49426,89196,1,360,2,68,0.0338,5,170000
472522,54996,111756,1,360,2,42,0.0338,4,317448
472522,66262,143820,1,360,2,53,0.035,4,387350
472522,53906,60012,2,360,2,29,0.0363,5,173250
472522,55653,93588,2,360,2,43,0.035,4,186400
472522,55653,148164,2,360,2,70,0.035,4,190950
472522,47275,60924,1,360,1,29,0.0338,4,131750
472522,47275,150360,2,360,2,64,0.035,5,231450
472522,49426,67536,2,360,2,49,0.0338,4,235400
472522,64129,122016,1,360,2,47,0.035,5,390200
472522,55653,121020,1,360,2,35,0.0363,5,218500
472522,63909,60624,1,360,1,59,0.0325,5,257418
472522,61255,38808,1,360,2,74,0.0363,5,180670
472522,53906,71832,2,360,2,65,0.0325,5,120600
472522,75847,93468,2,360,2,74,0.0363,3,118000
472522,51492,69816,1,360,2,66,0.035,5,213150
472522,66262,226764,2,360,2,52,0.0338,5,417000
472522,53906,115068,2,360,2,62,0.0325,5,220000
