Index,FHLBankPopulation,StateAvgIncome,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount,Amount_Prediction
5566,303625,55702,48396,1,360,2,37,0.0413,3,115000,188177.6542
5567,8538000,47830,53376,2,360,2,54,0.0375,4,226000,187591.0483
5568,126808,54996,153576,1,348,2,37,0.0338,5,382000,239739.0558
5569,2705000,59588,98484,1,360,2,35,0.0413,4,261250,249905.0227
5570,472522,66262,99168,1,360,1,32,0.0325,5,344000,264743.6493
5571,673184,71346,144611,1,360,2,40,0.0325,5,344576,351245.2553
5572,298800,51075,153357,2,360,2,36,0.0338,5,410000,234846.4144
5573,215472,54736,115928,1,360,2,28,0.035,5,191900,236564.8815
5574,673184,70628,56184,2,360,2,67,0.0363,4,210000,311971.0835
5575,864771,50532,91572,1,360,2,32,0.035,5,173850,203100.0501
5576,8538000,60850,184018,2,240,2,33,0.0325,4,256000,267752.4627
5577,864771,60850,64800,1,360,2,30,0.0363,5,400000,264675.5608
5578,303625,55702,90972,2,180,2,33,0.0313,5,140000,179405.0303
5579,298800,51075,32240,2,360,2,26,0.035,4,112000,191846.7333
5580,864771,66262,131496,2,360,2,37,0.04,5,579150,328084.35
5581,2705000,55638,71057,2,240,2,56,0.0338,5,125000,195349.4448
5582,2705000,59588,62760,1,360,1,38,0.0363,4,71979,198051.6357
5583,126808,53906,70000,1,180,2,55,0.0313,5,55000,138249.2397
5584,864771,64500,85900,2,360,2,52,0.0388,5,395000,299996.1995
5585,864771,51084,125724,2,360,2,99,0.0388,5,328000,203797.2213
5586,215472,50238,50960,1,360,2,69,0.0338,5,155000,175849.1446
5587,8538000,60850,66900,1,360,1,99,0.0375,2,140409,168663.4634
5588,864771,50532,140000,1,360,2,99,0.0338,4,152800,174621.3754
5589,215472,53017,159852,2,180,2,46,0.0275,4,275000,159448.2624
5590,298800,51075,123180,2,360,2,50,0.0363,4,176400,204965.6611
5591,298800,45215,72738,2,180,2,71,0.03,4,65695,75990.63336
5592,215472,54736,103778,2,360,2,31,0.0375,5,104000,246623.2265
5593,126808,53906,42300,1,360,1,51,0.0375,3,124699,126706.046
5594,864771,50532,72384,2,360,2,39,0.0363,5,231200,210437.9575
5595,8538000,60850,124575,1,360,1,43,0.0388,5,480000,251436.9291
5596,864771,50532,36000,2,360,2,99,0.0375,4,88000,162353.661
5597,8538000,60850,129624,2,360,2,59,0.035,5,499900,307761.6004
5598,2705000,59588,151272,2,360,2,37,0.0388,5,204000,294759.0294
5599,298800,51075,72900,1,360,1,47,0.0363,4,133000,134177.025
5600,673184,71346,181860,2,180,2,56,0.0313,3,290000,265757.5106
5601,2705000,63488,58752,2,240,2,57,0.0313,5,87700,244816.3213
5602,864771,50532,48729,1,360,2,74,0.035,5,94800,176676.0857
5603,864771,64500,74736,2,360,2,37,0.0338,5,268000,305055.7287
5604,673184,70303,115720,2,360,2,99,0.0375,3,86000,296163.5664
5605,2705000,59588,63612,1,360,1,46,0.0388,2,111935,162166.0443
5606,8538000,60850,50711,1,360,1,99,0.04,4,139792,195500.2036
5607,673184,70628,533676,2,180,2,53,0.03,5,341000,382486.2185
5608,298800,51075,150000,1,360,2,42,0.0394,3,343125,181954.1054
5609,126808,53906,87435,2,360,2,67,0.0338,5,298000,224975.79
5610,215472,54736,67184,2,360,2,55,0.035,2,61600,181631.9055
5611,298800,51075,156456,1,360,1,60,0.0338,4,266000,151265.9403
5612,864816,64500,120153,2,360,2,43,0.04,3,417000,279391.5176
5613,215472,53017,43680,2,360,2,37,0.0325,4,120000,204269.4271
5614,864771,51084,91320,2,360,2,27,0.035,5,161000,223879.0364
5615,303625,55702,58872,1,360,2,35,0.0363,4,135000,209760.0741
5616,864771,51084,24960,2,180,2,99,0.03,5,53500,109915.0216
5617,215472,54736,62022,1,360,2,53,0.03,5,140000,215974.928
5618,1318000,64500,199992,2,360,2,45,0.0388,4,625000,316381.5727
5619,2705000,55638,275016,2,180,2,35,0.0275,5,192500,232687.4748
5620,126808,53906,88008,2,360,2,99,0.0338,4,215000,197136.022
5621,864771,50532,140532,2,360,2,37,0.0325,5,410500,229880.8714
5622,126808,63909,198168,1,360,2,37,0.035,5,458850,313987.5023
5623,864771,72222,120096,2,360,2,38,0.0338,5,275000,366952.3717
5624,864771,50532,60534,1,360,2,99,0.04,5,201570,168030.0673
5625,864771,50532,77928,1,360,2,30,0.0325,5,204000,201557.875
5626,864771,51075,107004,1,360,2,52,0.035,5,204000,203040.429
5627,298800,51075,141564,2,240,2,42,0.035,5,146400,180683.0833
5628,864771,50532,97850,1,360,1,45,0.0338,5,239400,156288.2627
5629,126808,63909,124992,2,360,2,48,0.035,3,273097,274947.3802
5630,298800,45215,59736,1,360,2,33,0.035,5,188000,158084.5539
5631,215472,54736,185880,1,360,2,99,0.0388,5,330000,225726.6821
5632,298800,50532,85812,1,180,2,48,0.03,5,76000,123621.9118
5633,126808,54996,120788,2,360,2,39,0.0338,4,290000,234985.344
5634,215472,54736,137992,2,360,2,40,0.0325,5,324000,254012.8514
5635,298800,51075,113693,2,360,2,39,0.0363,5,194000,222713.9796
5636,2705000,55638,39696,1,360,2,67,0.035,4,80000,199988.7021
5637,864771,64500,100008,2,360,2,29,0.035,5,245000,313823.9858
5638,126808,54996,115992,2,360,2,29,0.0325,5,244150,254107.9565
5639,864816,64500,121333,2,360,2,35,0.0375,5,555000,315784.0785
5640,298800,51075,55200,1,360,1,30,0.0388,4,122400,135017.2809
5641,215472,54736,75439,1,360,2,99,0.0313,5,252000,201510.3053
5642,298800,51075,27597,1,360,1,31,0.0375,4,94000,128334.4507
5643,2705000,55638,48048,2,360,2,38,0.0313,3,88000,213915.78
5644,673184,56990,39900,1,360,1,26,0.035,4,147537,174487.6225
5645,864771,64500,112212,1,360,2,50,0.0375,5,500000,292562.4725
5646,215472,53906,92349,2,360,2,40,0.0388,4,328000,218350.4059
5647,298800,51075,114876,2,360,2,37,0.0338,5,238400,224871.036
5648,126808,53906,70000,1,360,1,27,0.035,4,151900,159715.2195
5649,215472,54736,140400,1,360,2,34,0.0375,4,280000,223315.7979
5650,126808,53906,84705,2,180,2,41,0.0313,4,167500,146495.0422
5651,215472,54736,37754,2,180,2,99,0.0288,5,70000,135888.2897
5652,864771,64500,981504,2,360,2,28,0.0413,3,765000,499333.4197
5653,298800,51075,131352,2,360,2,55,0.035,5,224400,221704.0766
5654,126808,48568,91220,1,360,2,99,0.0425,5,144000,159510.1789
5655,126808,54996,71781,1,360,2,99,0.0363,5,121600,199835.307
5656,472522,47830,47316,1,360,1,52,0.0338,3,173144,90121.99742
5657,126808,53906,61272,1,360,2,25,0.0325,4,154000,203441.3765
5658,864816,64500,123084,2,360,2,72,0.04,4,400000,285252.3826
5659,126808,54736,59136,1,348,2,32,0.0338,3,85000,184346.1147
5660,298800,51075,168012,2,360,2,43,0.0338,4,360000,219886.0409
5661,864771,51084,78966,1,360,2,63,0.0388,5,213600,190292.2907
5662,215472,54736,20640,1,360,2,99,0.0375,4,52250,169084.8344
5663,298800,51075,132600,2,336,2,36,0.0363,4,352400,202873.0335
5664,298800,50532,117600,2,336,2,39,0.035,3,248000,179008.0449
5665,215472,53017,52296,2,180,2,28,0.0338,4,24684,136553.5364
5666,864771,51075,84408,2,360,2,53,0.0388,5,163000,210663.2896
5667,2705000,64500,159528,2,360,2,31,0.0413,5,595000,330366.3253
5668,2705000,59588,50381,2,360,2,50,0.0338,4,157500,250948.1459
5669,298800,51075,176299,2,360,2,38,0.0363,5,264000,238708.3746
5670,126808,53906,103278,2,360,2,61,0.0388,4,140000,212956.9055
5671,864771,50532,25524,1,360,1,99,0.0363,5,51600,116900.1782
